Release,DescricaoRelease,Categoria,CodeSmell,Justificativa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v0.3.6,Long Method,Bloaters,Long Method,"Opcionalmente, há batalhas entre classes que não são necessariamente equivalentes ou que podem ser substituídos por outras classes sem alterar significativamente a funcionalidade principal.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v0.3.2,v0.3.2,Bloaters,Long Method,"Opcionalmente long method in class ""MyClass"" is causing the code smell of Bloaters.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v0.3.2,v0.3.2,Object Orientation Abusers,Alternative Classes with Different Interfaces are not recommended due to their complexity and potential misuse.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v0.3.2,v0.3.2,Change Preventers,Parallel Inheritance Hierarchies can lead to complex and difficult-to-maintain code.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v0.3.2,v0.3.2,Dispensables,Comments and duplicate code are common in large projects.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v0.3.2,v0.3.2,Couplers,Feature Envy and Inappropriate Intimacy can cause issues when refactoring large codebases.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v0.3.2,v0.3.2,Regras obrigatórias,Identifying these smells helps ensure that changes are made in a controlled manner and that the codebase remains maintainable over time.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v0.2.9,v0.2.9,Bloaters,Long Method,"Opcionalmente, pode haver long method que não é necessário para o propósito principal do código",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v0.2.9,v0.2.9,Object Orientation Abusers,Alternative Classes with Different Interfaces,Refusal of bequest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v0.2.9,v0.2.9,Change Preventers,Divergent Change,Parallel inheritance hierarchies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v0.2.9,v0.2.9,Dispensables,Comments,Data class,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v0.2.9,v0.2.9,Couplers,Feature Envy,Inappropriate intimacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v0.2.9,v0.2.9,Regras Obrigatórias,Identificação de bloaters e object orientation abusers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v0.2.9,v0.2.9,Nenhum code smell identificado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v0.2.6,Long Method,Bloaters,Long Method,"Opcionalmente, há longas linhas de código que podem ser reduzidas ou refactorizadas para melhorar a legibilidade e a eficiência do código.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v0.2.6,Large Class,Bloaters,Large Class,"Aqui está uma descrição mais detalhada do problema: A classe ""LargeClass"" contém muitos métodos longos e não é recomendável refatorar diretamente para evitar problemas de performance e escalabilidade.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v0.2.6,Primitive Obsession,Bloaters,Primitive Obsession,"Essencialmente, há uma falta de organização e complexidade na estrutura dos métodos, tornando-os desnecessários.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v0.2.6,Data Clumps,Bloaters,Data Clumps,Um exemplo de código que pode ser reduzido seria algo assim: `public void ProcessData(List<int> data)`.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v0.2.6,Data Clumps,Bloaters,Data Clumps,"Isso é uma forma de garantir que todos os dados sejam processados em um único passo, evitando a necessidade de manipular vários arquivos ao mesmo tempo.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v0.2.6,Primitive Obsession,Bloaters,Primitive Obsession,"É importante manter a lógica dentro das classes, pois isso ajuda a manter a consistência e a legibilidade do código.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v0.2.6,Primitive Obsession,Bloaters,Primitive Obsession,"Essencialmente, há uma falta de organização e complexidade na estrutura dos métodos, tornando-os desnecessários.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v0.2.6,Switch Statements,Bloaters,Switch Statements,"Essencialmente, há uma maneira de simplificar o código através da utilização de switch-case, mas não é recomendável usar essa prática quando possível.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v0.2.6,Temporary Field,Bloaters,Temporary Field,"Essencialmente, há uma falta de organização e complexidade na estrutura dos métodos, tornando-os desnecessários.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v0.2.2,v0.2.2,Bloaters,Long Method,Opcionalmente long method que não é necessário para o propósito principal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v0.2.2,v0.2.2,Object Orientation Abusers,Alternative Classes with Different Interfaces,Algoritmos alternativos com interfaces diferentes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v0.2.2,v0.2.2,Change Preventers,Divergent Change,Desconhecida mudança,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v0.2.2,v0.2.2,Dispensables,Comments,Desconhecidas mensagens de comentário,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v0.2.2,v0.2.2,Couplers,Feature Envy,Desconhecida combinação entre características e enfoques,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v0.2.2,v0.2.2,Regras obrigatórias,Identificação de bloaters e object orientation abusers,Identificação de bloaters e object orientation abusers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v0.2.2,v0.2.2,Nenhum,Nenhum,Nenhum code smell identificado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
